L016DVTI_RSMS,REA_BTS09:PSC1_D0865:RSMS_CSET
L016DVTI_RSSV,REA_BTS09:PSC1_D0865:RSSV_CSET
L016DVTI_RSTV,REA_BTS09:PSC1_D0865:RST_CMD
L016DVTI_RTZV,REA_BTS09:PSC1_D0865:RTZ_CMD
L016DVTI_SETRB,REA_BTS09:PSC1_D0865:V_RSET
L016DVTI_SETV,REA_BTS09:PSC1_D0865:V_CSET
L016DVTI_SONV,_REA_BTS10:PSC1_D0865:ON_CMD
L016DVTI_STAS,REA_BTS09:PSC1_D0865:STAS_RD
L016DVTI_VAL,REA_BTS09:PSC1_D0865:V_RD
L016DVTI_V_RD,_REA_BTS09:PSC1_D0865:V_RD
L016DVTI_V_SET,_REA_BTS09:PSC1_D0865:V_CSET
L016DVTI_ZOFF,REA_BTS09:PSC1_D0865:ZOFF_CSET
L016DVT_ILKS,_REA_BTS10:PSC1_D0865:ILK_RSTS
L016DVT_ILK_OK,REA_BTS10:PSC1_D0865:ILKOK_RSTS
L016DVT_I_RD,_REA_BTS10:PSC1_D0865:I_RD
L016DVT_ON,_REA_BTS10:PSC1_D0865:ON_CMD
L016DVT_RST,_REA_BTS10:PSC1_D0865:RST_CMD
L016DVT_SON,_REA_BTS10:PSC1_D0865:ON_RSTS
L016F-C,REA_BTS09:FC_D0864:BC_RD
L016F-C_DBG1,_REA_BTS09:FC_D0864:extra1
L016F-C_DBG2,REA_BTS09:FC_D0864:RFSO_RD
L016F-C_DBG3,_REA_BTS09:FC_D0864:extra3
L016F-C_DBG4,_REA_BTS09:FC_D0864:extra4
L016F-C_DEVID,__rea3_qa_bcm0050:deviceID
L016F-C_DEVTYPE,__rea3_qa_bcm0050:devType
L016F-C_FEND,REA_BTS09:FC_D0864:FRNT_CMD
L016F-C_FILT,REA_BTS09:FC_D0864:FLTR_CMD
L016F-C_INIT,REA_BTS09:FC_D0864:INIT_CMD
L016F-C_MCAL,REA_BTS09:FC_D0864:CAL_CMD
L016F-C_MIDR,REA_BTS09:FC_D0864:MIDR_CMD
L016F-C_MRAV,REA_BTS09:FC_D0864:AVGI_RD
L016F-C_MRNG,REA_BTS09:FC_D0864:FLSC_RD
L016F-C_MRRN,_REA_BTS09:FC_D0864:rangeIdx_RDB
L016F-C_MRST,REA_BTS09:FC_D0864:RST_CMD
L016F-C_MSAV,REA_BTS09:FC_D0864:AVGI_CSET
L016F-C_MSRN,_REA_BTS09:FC_D0864:rangeIdx_SET
L016F-C_MSWD,REA_BTS09:FC_D0864:DEVS_RSTS
L016F-C_SINF,REA_BTS09:FC_D0864:SINF_RD
L016F-C_STAS,REA_BTS09:FC_D0864:STAS_RD
L016F-C_STBY,REA_BTS09:FC_D0864:STBY_RSTS
L016F-C_TSTC,REA_BTS09:FC_D0864:TSTC_CMD
L016F-C_UPTM,__rea3_qa_bcm0050:upTime
L016F-C_VAL,REA_BTS09:FC_D0864:BC_RD
L016FC,REA_BTS09:FC_D0864:IN_CMD
L016FC_IL,REA_BTS09:FC_D0864:LMIN_RSTS
L016FC_OL,REA_BTS09:FC_D0864:LMOUT_RSTS
L016FV,REA_BTS10:FV_D0864:OPN_CMD
L016FV_CL,REA_BTS10:FV_D0864:LMCL_RSTS
L016FV_OP,REA_BTS10:FV_D0864:LMOP_RSTS
L016GV,REA_BTS10:TGV_D0864:OPN_CMD
L016GV_CL,REA_BTS10:TGV_D0864:LMCL_RSTS
L016GV_OP,REA_BTS10:TGV_D0864:LMOP_RSTS
L016LT,REA_BTS10:LT_D0864:ON_CMD
L016MCP,REA_BTS09:PSM_D0864:V_RD
L016MCP_ATCE,REA_BTS09:PSM_D0864:ATDB_CSET
L016MCP_ATPS,REA_BTS09:PSM_D0864:ATPS_RSTS
L016MCP_CH2V,REA_BTS09:PSM_D0864:I_RD
L016MCP_ILKV,REA_BTS09:PSM_D0864:ILK_RSTS
L016MCP_INC,REA_BTS09:PSM_D0864:V_CSET_INC
L016MCP_I_RD,REA_BTS09:PSM_D0864:I_RSET
L016MCP_I_SET,REA_BTS09:PSM_D0864:I_CSET
L016MCP_ON,_dev_REA_BTS09:PSM_D0864:ON_CMD
L016MCP_OOV,REA_BTS09:PSM_D0864:ON_CMD
L016MCP_POFF,REA_BTS09:PSM_D0864:POFF_CSET
L016MCP_RESET,_dev_REA_BTS09:PSM_D0864:RST_CMD
L016MCP_RSMS,REA_BTS09:PSM_D0864:RSMS_CSET
L016MCP_RSSV,REA_BTS09:PSM_D0864:RSSV_CSET
L016MCP_RSTV,REA_BTS09:PSM_D0864:RST_CMD
L016MCP_RTZV,REA_BTS09:PSM_D0864:RTZ_CMD
L016MCP_SETRB,REA_BTS09:PSM_D0864:V_RSET
L016MCP_SETV,REA_BTS09:PSM_D0864:V_CSET
